,District,Borough,Building ID,School,Project #,Description,FY,Total
144,20,Brooklyn,K112,P.S. 112,DSF0000892623,State of Good Repair - System Replacements - Parapets,2021,1880954
145,20,Brooklyn,K112,P.S. 112,DSF0000892624,State of Good Repair - System Replacements - Windows,2021,4089765
146,20,Brooklyn,K127,P.S. 127,DSF0000798424,State of Good Repair - Building Upgrade - Boiler Conversion,2020,7447034
147,20,Brooklyn,K127,P.S. 127,DSF0000779662,State of Good Repair - Building Upgrade - Climate Control,2020,1456570
148,20,Brooklyn,K160,P.S. 160,DSF0000798507,State of Good Repair - System Replacements - Domestic Piping,2020,909558
149,20,Brooklyn,K192,P.S. 192,DSF0000912058,State of Good Repair - System Replacements - Electrical Systems,2020,240000
150,20,Brooklyn,K223,I.S. 223,DSF0000798513,State of Good Repair - System Replacements - Domestic Piping,2020,942232
151,21,Brooklyn,K099,P.S. 99,DSF0000798503,State of Good Repair - System Replacements - Domestic Piping,2020,878302
152,21,Brooklyn,K153,P.S. 153,DSF0000912053,State of Good Repair - System Replacements - Electrical Systems,2020,210000
153,21,Brooklyn,K253,P.S. 253,DSF0000912069,State of Good Repair - System Replacements - Electrical Systems,2020,300000
154,22,Brooklyn,K014,I.S. 14,DSF0000912041,State of Good Repair - System Replacements - Electrical Systems,2020,270000
155,22,Brooklyn,K052,P.S. 52,DSF0000891902,State of Good Repair - Building Upgrade - Flood Elimination,2021,1479380
156,22,Brooklyn,K052,P.S. 52,DSF0000891904,State of Good Repair - System Replacements - Exterior Masonry,2021,3631171
157,22,Brooklyn,K052,P.S. 52,DSF0000891903,State of Good Repair - System Replacements - Windows,2021,7952320
158,22,Brooklyn,K217,P.S. 217,DSF0000912062,State of Good Repair - System Replacements - Electrical Systems,2020,180000
159,22,Brooklyn,K240,I.S. 240,DSF0000912065,State of Good Repair - System Replacements - Electrical Systems,2020,440000
160,22,Brooklyn,K251,P.S. 251,DSF0000912068,State of Good Repair - System Replacements - Electrical Systems,2020,190000
161,22,Brooklyn,K255,P.S. 255,DSF0000912237,State of Good Repair - System Replacements - Electrical Systems,2020,1902
162,23,Brooklyn,K155,P.S. 155,DSF0000912054,State of Good Repair - System Replacements - Electrical Systems,2020,180000
163,23,Brooklyn,K184,P.S. 184,DSF0000912057,State of Good Repair - System Replacements - Electrical Systems,2020,190000
164,23,Brooklyn,K284,P.S. 284,DSF0000798523,State of Good Repair - System Replacements - Domestic Piping,2020,942232
165,23,Brooklyn,K284,P.S. 284,DSF0000912180,State of Good Repair - System Replacements - Toilets - Students,2020,300000
166,23,Brooklyn,K298,P.S. 298,DSF0000798526,State of Good Repair - System Replacements - Domestic Piping,2020,909558
167,23,Brooklyn,K327,P.S. 327 (TANDEM K396-D75),DSF0000912218,State of Good Repair - System Replacements - Electrical Systems,2020,603324
168,23,Brooklyn,K332,P.S. 332,DSF0000895934,State of Good Repair - System Replacements - Exterior Masonry,2022,3771663
169,23,Brooklyn,K332,P.S. 332,DSF0000895933,State of Good Repair - System Replacements - Parapets,2022,2784004
170,23,Brooklyn,K332,P.S. 332,DSF0000895932,State of Good Repair - System Replacements - Roofs,2022,7002630
171,24,Queens,Q012,P.S. 12,DSF0000900613,State of Good Repair - Building Upgrade - Flood Elimination,2022,1031252
172,24,Queens,Q012,P.S. 12,DSF0000900617,State of Good Repair - System Replacements - Exterior Masonry,2022,5363806
173,24,Queens,Q012,P.S. 12,DSF0000900616,State of Good Repair - System Replacements - Parapets,2022,5283323
174,24,Queens,Q012,P.S. 12,DSF0000900615,State of Good Repair - System Replacements - Roofs,2022,3851447
175,24,Queens,Q013,P.S. 13,DSF0000900626,State of Good Repair - System Replacements - Parapets,2022,5723600
176,24,Queens,Q013,P.S. 13,DSF0000900624,State of Good Repair - Building Upgrade - Flood Elimination,2022,1235988
177,24,Queens,Q013,P.S. 13,DSF0000900627,State of Good Repair - System Replacements - Exterior Masonry,2022,12562598
178,24,Queens,Q058,P.S. 58,DSF0000910388,State of Good Repair - System Replacements - Roofs,2021,3626264
179,24,Queens,Q058,P.S. 58,DSF0000910390,State of Good Repair - System Replacements - Exterior Masonry,2021,5547623
180,24,Queens,Q058,P.S. 58,DSF0000910389,State of Good Repair - System Replacements - Parapets,2021,1982307
181,24,Queens,Q073,I.S. 73,DSF0000912095,State of Good Repair - System Replacements - Electrical Systems,2020,720000
182,24,Queens,Q091,P.S. 91,DSF0000901810,State of Good Repair - Building Upgrade - Flood Elimination,2022,1520377
183,24,Queens,Q091,P.S. 91,DSF0000901812,State of Good Repair - System Replacements - Exterior Masonry,2022,7622250
184,24,Queens,Q091,P.S. 91,DSF0000901811,State of Good Repair - System Replacements - Roofs,2022,2811662
185,24,Queens,Q093,I.S. 93,DSF0000912098,State of Good Repair - System Replacements - Electrical Systems,2020,300000
186,24,Queens,Q119,I.S. 119,DSF0000902237,State of Good Repair - System Replacements - Parapets,2021,2553036
